cod_cia,periodo,cod_subramo,primas_emitidas,primas_devengadas,siniestros_devengados,gastos_totales_devengados
0032,202203,1.030.01,1101039463.0,674059499.0,450644043.0,539295683.0
0032,202203,1.030.02,270792259.0,251268988.0,319369041.0,335572382.0
0032,202203,1.050.01,0.0,0.0,-8578.0,0.0
0032,202203,1.050.99,0.0,0.0,3725723.0,26777.0
0032,202203,1.070.01,7739543.0,3160039.0,-183730.0,682024.0
0032,202203,1.080.99,91445318.0,25273534.0,1895083.0,102429075.0
0032,202203,1.090.99,6016605.0,5232721.0,396042.0,7852129.0
0032,202203,1.100.01,5919940.0,506660.0,0.0,14037.0
0032,202203,1.100.99,23516544.0,6175808.0,-2472767.0,65329963.0
0032,202203,1.130.99,258830119.0,-3968301.0,16280471.0,32875949.0
0032,202203,1.140.99,20101975.0,4146451.0,-3522249.0,20655954.0
0032,202203,1.150.99,23499326.0,8229227.0,1706110.0,2092584.0
0032,202203,1.160.99,26289808.0,10199714.0,-11993385.0,39690599.0
0032,202203,1.170.02,245659.0,-956735.0,162616.0,64124.0
0032,202203,1.170.03,2294189.0,1595459.0,1579178.0,2462821.0
0032,202203,1.180.01,3209393.0,2005078.0,1870542.0,12767294.0
0032,202203,1.180.02,8540284.0,7834180.0,-2271515.0,7904952.0
0032,202203,1.180.03,0.0,0.0,0.0,428.0
0032,202203,2.010.01,6280437.0,3627808.0,-290771.0,21357719.0
0032,202203,2.010.02,20197579.0,16222616.0,7206490.0,24441643.0
0032,202203,2.030.01,1719.0,1752.0,0.0,58557.0
0032,202203,2.030.02,46643186.0,46060215.0,42631274.0,155061565.0
0032,202203,2.030.04,0.0,0.0,0.0,0.0
0032,202203,2.030.05,109805509.0,109797862.0,16116.0,50436.0
0032,202203,2.050.01,0.0,0.0,0.0,22.0
0032,202203,2.050.02,133044.0,133915.0,54075.0,180252.0
0032,202204,1.010.99,3530805278.0,335553149.0,-37845007.0,248149970.0
0032,202204,1.020.01,136208240.0,116169475.0,60363552.0,137651232.0
0032,202204,1.020.02,120671953.0,104361070.0,-68814168.0,70879303.0
0032,202204,1.020.99,36879201.0,35905773.0,-14517482.0,35701261.0
0032,202204,1.030.01,2730078975.0,1726520571.0,765830656.0,1589930762.0
0032,202204,1.030.02,664426254.0,677113678.0,138229868.0,956087813.0
0032,202204,1.050.01,0.0,0.0,47874.0,0.0
0032,202204,1.050.99,0.0,0.0,-1147499.0,57535.0
0032,202204,1.070.01,36544945.0,2771939.0,1102627.0,1355835.0
0032,202204,1.080.99,171057433.0,96427843.0,1231508.0,130328021.0
0032,202204,1.090.99,11092743.0,11273352.0,107602.0,15512533.0
0032,202204,1.100.01,20490627.0,20326475.0,0.0,39677.0
0032,202204,1.100.99,47407717.0,15245226.0,46826507.0,86314220.0
0032,202204,1.130.99,327129485.0,68260277.0,3065786.0,55349590.0
0032,202204,1.140.99,54938570.0,17280528.0,14539246.0,25890550.0
0032,202204,1.150.99,49814294.0,25142452.0,1993912.0,14043442.0
0032,202204,1.160.99,69047051.0,32804691.0,-11450726.0,39814284.0
0032,202204,1.170.02,288142.0,3564748.0,142765.0,91424.0
0032,202204,1.170.03,5237095.0,4541495.0,3875583.0,4303741.0
